date,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Brazzaville),Congo (Kinshasa),Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czechia,Denmark,Diamond Princess,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, South",Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia
2020-08-25,1397,259,1456,53,102,3,7563,858,549,733,521,46,186,4028,7,652,9996,10,39,0,4664,560,3,116580,3,572,55,6,1,37,0,410,9136,61,77,10958,4712,17889,7,78,251,376,114,175,91,20,416,623,13,60,0,1585,6368,5298,678,83,0,64,86,709,1,335,30549,53,90,19,9281,270,243,0,2630,57,33,31,196,0,1703,614,10,59357,6858,20901,6596,1777,859,35445,19,1219,14,1523,559,312,488,519,1057,0,33,138,30,82
2020-08-26,1401,263,1465,53,103,3,7839,861,572,733,522,48,186,4082,7,657,9879,11,40,0,4726,571,3,117665,3,586,55,6,1,38,0,410,9141,61,77,10990,4713,18184,7,78,254,386,114,175,92,20,418,623,13,60,0,1613,6410,5317,687,83,0,64,88,725,1,335,30549,53,93,19,9285,270,248,0,2662,57,34,31,197,0,1747,614,10,60472,6944,21020,6668,1777,875,35458,19,1230,15,1523,564,313,488,521,1057,0,33,139,31,82
2020-08-27,1401,266,1475,53,105,3,8050,864,583,733,524,48,188,4127,7,662,9884,12,40,0,4791,582,3,118649,3,594,55,6,1,38,0,411,9148,61,77,11072,4715,18467,7,78,255,397,115,177,92,20,418,624,13,60,0,1630,6471,5342,694,83,0,64,89,745,2,335,30581,53,93,19,9290,270,254,0,2685,58,34,32,200,0,1803,614,10,61529,7064,21137,6740,1777,884,35463,19,1241,15,1523,567,316,488,522,1057,0,34,146,31,82
2020-08-28,1402,271,1483,53,106,3,8271,869,600,733,527,50,189,4174,7,667,9886,12,40,0,4846,591,3,119504,3,603,55,6,1,38,0,411,9155,61,77,11132,4718,18766,7,78,255,407,115,180,92,20,419,624,13,60,0,1648,6504,5362,702,83,0,64,91,758,2,335,30601,53,96,19,9290,270,259,0,2709,59,34,35,201,0,1827,614,10,62550,7169,21249,6814,1777,894,35472,19,1251,15,1523,567,321,488,525,1057,0,34,148,31,82
2020-08-29,1402,275,1491,53,107,3,8353,872,611,733,529,50,189,4206,7,671,9891,13,40,0,4938,594,3,120262,3,605,55,6,1,39,0,411,9161,61,77,11181,4721,19063,7,78,258,418,115,183,94,20,421,624,13,60,0,1673,6537,5376,708,83,0,64,91,770,2,335,30601,53,96,19,9299,270,260,0,2728,59,34,35,201,0,1842,614,10,63498,7261,21359,6891,1777,906,35473,20,1271,15,1523,572,323,488,528,1057,0,34,155,31,82
2020-08-30,1402,280,1501,53,107,3,8457,877,652,733,531,50,189,4248,7,676,9894,13,40,0,4966,598,6,120828,3,613,55,6,1,40,0,411,9164,61,77,11244,4722,19363,7,78,258,418,115,184,94,20,423,624,13,60,0,1681,6555,5399,713,83,0,64,91,793,2,335,30611,53,96,19,9300,276,262,0,2740,59,34,36,201,0,1858,614,10,64469,7343,21462,6959,1777,919,35477,21,1285,15,1523,574,324,488,530,1058,0,34,160,31,82
2020-08-31,1402,284,1510,53,108,3,8660,879,657,733,534,50,190,4281,7,681,9895,13,40,0,5027,609,6,121381,3,629,55,6,1,40,0,411,9173,62,77,11289,4723,19662,7,78,258,436,117,186,94,20,424,624,13,60,0,1710,6556,5421,717,83,0,64,91,809,2,336,30640,53,96,19,9303,276,266,0,2760,59,34,39,201,0,1873,615,10,65288,7417,21571,7042,1777,939,35483,21,1298,15,1523,577,324,488,531,1058,0,34,167,31,82
2020-09-01,1406,290,1518,53,109,3,8919,881,663,734,536,50,190,4316,7,686,9897,13,40,0,5101,620,6,122596,3,642,55,6,1,40,0,414,9179,62,77,11321,4724,20050,7,78,259,443,117,187,95,21,425,625,13,60,0,1738,6571,5440,724,83,0,64,94,828,2,336,30666,53,96,19,9307,276,271,0,2778,59,34,41,203,0,1888,616,10,66333,7505,21672,7123,1777,957,35491,21,1313,15,1588,577,326,488,534,1059,0,34,171,31,82
2020-09-02,1409,296,1523,53,112,3,9118,884,678,734,538,50,190,4351,7,691,9898,13,40,0,5203,627,6,123780,3,648,55,6,1,41,0,415,9182,62,77,11344,4727,20345,7,102,259,453,117,191,98,21,425,626,13,60,0,1765,6619,5461,731,83,0,64,94,846,2,336,30692,53,97,19,9322,276,273,0,2790,59,34,41,206,0,1924,619,10,67376,7616,21797,7201,1777,969,35497,24,1327,15,1588,581,329,488,535,1059,0,34,177,31,82
2020-09-03,1409,301,1529,53,113,3,9361,887,737,735,541,50,190,4383,7,696,9899,13,40,0,5288,636,6,124614,3,658,55,6,1,41,0,415,9189,62,77,11422,4728,20618,7,102,259,460,119,194,100,21,426,626,13,60,0,1801,6648,5479,739,83,0,64,94,856,2,336,30712,53,99,19,9322,280,278,0,2804,61,34,44,210,0,1954,620,10,68472,7750,21926,7275,1777,985,35507,29,1334,15,1588,585,331,488,536,1059,0,34,179,31,82
2020-09-04,1409,306,1539,53,115,3,9623,891,748,735,543,50,195,4412,7,701,9901,15,40,0,5343,639,8,125502,3,665,55,7,1,41,0,415,9190,62,77,11494,4728,20888,7,102,259,469,119,195,100,21,429,627,13,60,0,1801,6674,5495,744,83,0,64,94,880,2,336,30730,53,99,19,9327,283,279,0,2825,61,38,44,212,0,1984,621,10,69561,7832,22044,7359,1777,993,35518,30,1352,16,1588,589,333,488,537,1060,0,35,183,31,82
2020-09-05,1409,312,1549,53,117,3,9739,895,753,735,545,55,196,4447,7,705,9906,15,40,0,5398,651,8,126203,3,671,55,8,1,42,0,415,9192,62,77,11551,4728,21156,7,102,259,478,119,197,100,21,431,627,13,60,0,1840,6724,5511,752,83,0,64,94,897,2,336,30730,53,99,19,9329,283,280,0,2845,61,38,46,212,0,2006,624,10,70626,7940,22154,7422,1777,1007,35534,32,1361,16,1588,594,334,488,540,1060,0,35,187,31,82
2020-09-06,1412,316,1556,53,117,3,9859,897,762,736,548,56,199,4479,7,711,9907,15,40,0,5398,655,8,126650,3,676,55,8,1,42,0,415,9194,62,79,11592,4730,21412,7,102,260,478,119,198,101,21,436,627,13,61,0,1845,6724,5530,759,83,0,64,94,918,2,336,30730,53,99,19,9330,283,284,0,2852,61,38,46,214,0,2007,624,10,71642,8025,22293,7512,1777,1019,35541,33,1366,16,1588,597,336,488,544,1060,0,35,191,31,82
2020-09-07,1415,319,1562,53,120,3,10129,900,770,746,551,58,200,4516,7,716,9909,16,40,0,7054,664,9,126960,3,677,56,8,1,42,0,415,9196,62,79,11652,4732,21615,7,102,260,510,119,201,102,22,437,628,13,61,0,1864,10576,5541,764,83,0,64,94,933,2,336,30732,53,99,19,9331,283,289,0,2862,62,38,47,214,0,2023,625,10,72775,8130,22410,7589,1777,1026,35553,34,1377,17,1588,599,341,488,546,1060,0,35,200,31,82
2020-09-08,1418,321,1571,53,124,3,10405,903,781,747,552,59,202,4552,7,721,9912,16,40,0,7097,669,9,127464,3,692,56,12,1,42,0,415,9203,62,79,11682,4733,21611,7,114,260,531,119,203,104,22,441,628,13,61,0,1889,10627,5560,765,83,0,64,96,949,2,336,30770,53,99,19,9336,283,290,0,2890,63,38,48,214,0,2034,626,10,73890,8230,22542,7657,1778,1040,35563,36,1398,19,1634,599,344,488,548,1060,0,35,207,31,82
2020-09-09,1420,322,1581,53,126,3,10658,905,788,747,555,63,203,4593,7,726,9917,18,40,0,7146,675,9,128539,3,702,56,14,1,43,0,415,9204,62,79,11702,4733,22053,7,114,260,543,119,206,104,22,444,628,13,61,0,1914,10701,5577,770,83,0,64,97,966,2,337,30805,53,99,19,9342,283,293,0,2897,63,38,48,214,0,2044,628,10,75062,8336,22669,7732,1781,1054,35577,38,1412,19,1634,607,346,488,552,1061,0,35,212,31,82
2020-09-10,1420,324,1591,53,130,3,10907,906,797,748,556,63,207,4634,7,732,9917,18,40,0,7193,680,10,129522,3,706,56,14,1,43,0,415,9213,62,79,11781,4733,22275,7,83,262,567,119,208,106,22,448,629,13,61,0,1926,10749,5590,774,83,0,64,98,974,2,337,30819,53,100,19,9345,283,297,0,2918,63,39,49,215,0,2049,630,10,76271,8456,22798,7814,1781,1077,35587,40,1416,20,1634,612,350,488,556,1061,0,35,219,31,82
2020-09-11,1420,327,1599,53,131,3,11148,909,803,750,557,65,208,4668,7,738,9919,19,40,0,7250,686,10,130396,3,713,56,14,1,44,0,415,9214,62,79,11850,4733,22518,7,88,262,583,119,211,106,22,450,629,13,61,0,1941,10836,5607,777,83,0,64,98,986,2,337,30901,53,100,19,9348,285,300,0,2929,63,39,52,216,0,2058,631,10,77472,8544,22913,7881,1781,1090,35597,40,1428,21,1634,616,355,488,557,1063,0,35,229,33,82
2020-09-12,1420,330,1605,53,132,3,11263,911,810,754,559,67,211,4702,7,744,9923,19,40,0,7297,690,10,131210,3,717,56,16,1,44,0,415,9220,62,80,11895,4734,22734,7,88,262,590,119,218,108,22,453,630,13,61,0,1953,10864,5627,782,83,0,64,98,996,2,337,30902,53,102,19,9352,286,302,0,2949,63,39,54,219,0,2065,633,10,78586,8650,23029,7941,1783,1103,35603,40,1441,22,1634,619,358,488,558,1063,0,35,239,33,82
2020-09-13,1420,334,1612,53,134,3,11352,916,816,756,562,67,212,4733,7,750,9925,19,40,0,7344,696,10,131625,3,720,56,24,1,44,0,415,9220,62,80,11949,4734,22924,7,88,264,590,120,224,108,22,456,631,13,61,0,1968,10903,5648,785,83,0,64,98,1013,2,337,30903,53,103,19,9354,286,305,0,2957,63,39,56,219,0,2079,637,10,79722,8723,23157,8014,1784,1119,35610,42,1448,24,1634,622,363,488,560,1063,0,35,241,33,82
